Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo
44939,20.39,73300109,1,4
45030,17.03,2922347007,17,4
45254,16.45,23473976,1,4
45240,14,52141554,1,5
45282,14,63062229,1,5
45205,14,32280775,1,2
45198,17.34,331951177.3,3,3
45233,12.25,274973772,1,4
45121,20.76,224435252,3,4
45023,18.72,159999464,2,4
45044,16.79,229226543,13,1
45247,8.9,37259259,1,4
45226,18.44,20430997,1,2
45219,5,70978724,1,4
45240,18.62,496281825,1,3
45226,16.79,1511258832,2,4
45016,18.21,5514149422,34,4
44960,20.13,795810415,6,3
45226,17.88,63245623,1,5
44974,22,1917519234,25,5
45254,14.03,111999917,1,4
45254,17.7,447856444,2,4
45247,17.05,24655916,1,4
45233,8.98,251503721,3,5
45198,15.12,39730506,1,5
45233,5.9,55791558,1,5
45156,18.09,1038390917,9,4
45016,22.57,260729357,4,4
45205,14,288946126,3,4
45254,16.45,30561613,1,4
45156,17.28,259232043,17,1
45184,18.79,6604905722,42,3
45044,20.39,1288320719,7,4
45037,18.29,2227238181,45,5
45282,5,111879388,1,4
45233,18.3,147351609,1,3
45219,13.35,261567334,4,4
45044,21.04,727036019,3,4
45233,15.29,413406426,6,5
44946,14.96,4055162669,22,4
45205,14,78041864,3,3
45261,18.05,272339115,1,4
45261,14,123358167,1,5
45058,18.4,323514575,12,3
44960,20.01,461974056,2,4
45226,8.8,77693207,1,4
45240,8.73,377682404,5,5
44995,17.44,134451216,7,4
45226,16.63,193542125,1,4
45198,16.94,1511463199,28,3
45205,14,70131238,1,5
44953,18,344344077,4,3
45219,16.38,154861474,4,5
45044,18.75,1036045181,7,3
45009,20.31,8387048645,43,4
45009,20.25,258790001,3,1
45240,14.7,6000000,1,1
45219,14.73,1600335211,19,5
45219,17.32,79895955,1,5
45170,21.17,187951907,3,4
45065,17.66,1293142017,7,3
45233,15.86,69859913,1,1
45051,16.79,1531158582,33,5
45198,18.05,311050041,1,4
45226,14.3,125431584,1,4
45226,18.16,7685598,1,4
45128,17.62,353743209,2,3
45261,14,323491551,3,4
45226,17.32,55435582,1,5
45254,16.48,79425011,2,5
45044,18.73,637638299,9,3
45198,17.88,11201455,1,4
45205,14,96589247,1,4
45240,17.45,122354487,1,3
45233,18.3,16657937,1,3
45191,16.18,2502840008,10,4
45037,11.95,635060901,5,4
45212,9.13,118228435,2,5
45282,14,332014036,3,4
45072,13.91,7792971558,109,4
45254,8.83,550917468,6,5
45198,17.96,426023895,2,4
45247,10,218755172,1,5
45254,12.63,152029848.3,2,3
45016,17.7,189647939,7,4
44967,18.35,588036911,3,4
45051,19.86,4017920508,18,3
45226,17.8,209476653,2,4
45261,10.25,142441522,1,4
45282,14,170482516,3,4
45219,18.45,138949644,1,3
45093,15.7,556051875,11,3
45198,16.59,200308323,2,4
44995,18.38,1858242626,18,3
45261,5,2832702154,24,5
45254,14,103646263,1,5
44960,20.62,155123148,7,2
45198,19.2,28523036,1,3
45030,16.29,67334275.86,2,1
45261,5,91132235,1,5
45212,14,98801707,1,4
45282,17.04,39576004,1,4
45261,14.3,120432758,1,3
45212,8.6,60427995,1,5
45198,17.6,87499927,1,2
45261,20,171408622,1,3
45233,5,117037751,1,4
45086,17.84,117244509,7,2
45240,14,22296304,1,4
45205,6.5,96319988,1,5
45198,19.85,54382274,1,4
45282,14,280370757,3,4
45226,18.38,541524639,5,5
45254,14,49492576,1,5
45233,16.37,489517928,2,3
45261,16.91,192694413,2,4
44953,17.85,3470063206,40,4
45205,17.55,347089174,1,4
45240,14,103587924,1,4
45163,19.69,325348894,1,3
45205,18.02,23266333,1,5
45198,9.9,63254106,1,5
45261,18.45,185157484,1,4
44946,15.35,1932760376,24,4
45205,17.97,253078913,2,4
45212,14,31925864,1,3
45107,17.03,614454926,14,3
45219,16.35,217371677,5,5
45247,5,91485846,1,4
45282,17.75,142256262,1,4
45233,17.88,5000000,1,2
45044,23.81,23352648,1,4
45198,17.55,344670839,1,4
45219,18.2,57867431,1,3
45212,15.12,75549474,1,5
44953,23.21,2164655484,25,5
45205,18.16,35990992,2,3
45233,9.08,1340993071,17,5
45121,18.02,2891921686,36,5
45212,16.15,73514673,1,4
44974,17.44,204285396,13,1
45156,19.82,152142844,1,3
45205,10.15,198782323,1,5
45212,14,2320000,1,4
45044,18.91,790339778,5,5
45100,19.46,453063636,6,3
45079,18.75,788497376,5,3
45254,16.17,179727686,2,4
45135,17.44,3590544421,27,4
45065,18.11,8425197958,42,4
45219,15.59,54807576,2,4
45107,18.14,4752754395,21,4
45058,18.16,127585793,1,1
45072,19.89,1301616918,19,3
45184,19.85,258295777,4,5
45226,8.8,90001401,1,5
45002,16.51,2279026205,33,4
45226,8.75,44042964,1,3
45212,14,458573954,5,4
45198,16.44,203162435,2,4
45198,16,207252786,1,4
45254,14.67,299751467,3,5
45247,18.16,16392121,1,3
45226,19.05,140424701,1,4
45177,19.95,173437152,4,1
45156,19.6,176053941,2,3
45219,17.88,3682908,1,5
45261,18.58,95051144,1,5
45240,18.45,102500891,1,4
45233,17.6,109323483,1,5
45191,15.38,5197131239,73,4
45212,14,28843566,1,3
45142,18.49,2648522074,12,3
45156,16.96,3162722543,12,4
45121,16.5,10362793894,29,4
45219,9.09,407945848,6,5
45219,9.09,272314593,3,5
45212,14,186701145,3,4
45226,15.12,61653363,1,5
45233,19.6,246900643,4,4
45240,8.85,111854278,2,4
45030,18.94,3185037281,14,4
44974,18.55,290646456,1,4
45240,8.8,48647553,1,5
45261,9,382258634,5,5
45261,14.71,2372302276,34,5
45079,17.94,3666991736,8,4
45282,18.14,222744508,3,5
45240,18.45,104318135,1,4
44967,19.17,234729535.9,6,1
45044,18.42,756568075,9,4
45233,14,497569199,4,3
45219,18.45,17404799,1,3
45282,14.48,449226857,7,5
45261,14,29902208,1,4
45254,8.74,151672486,2,4
45219,18.05,446337414,1,4
45135,18.99,2277102975,26,3
45219,18.95,20713128,1,3
44960,16.85,5240041199,31,3
45247,5,294094036,3,4
45023,18.15,359165934,2,5
45002,18.53,1766978522,7,3
44960,17.63,21903597225,62,4
45016,16.7,3000107492,94,3
45254,18.05,18495005,1,3
45205,18.75,266999562,2,5
45247,19.75,61554105,1,4
45044,18.35,1103988739,13,4
45219,5,71656574,2,5
45240,15,101329805,1,4
45226,14,225827419,2,4
45261,14,272889695,2,4
45205,13.94,924397952,11,3
44960,24.71,1006707221,4,4
45079,18.94,18910194508,85,4
45254,8.99,710196056,14,5
45240,17.18,507398512,1,5
45198,17,393564542,2,3
45212,19.63,159828883,1,4
45261,14,653211699,6,4
44960,17.6,1774781479,23,3
45184,15.78,5928075332,87,4
45233,16.85,305761533,1,4
45205,14,80683096,1,4
45247,16.5,900495023,1,4
45058,20.34,80920995,1,4
45023,23.82,732920389,11,5
45261,17.69,1117278702,6,4
44960,15.46,1987223191,4,3
45016,17.23,1370521579,4,4
45282,14,68791066,1,4
45079,17.73,688265339,4,3
45198,14,38745861,1,5
45212,14,71574628,1,4
45114,19.04,1082891402,7,4
45191,15.79,387623182,10,3
45023,17.9,2170080837,8,4
45205,14,51703015,1,5
45261,19.2,8600000,1,3
45261,8.7,56939463,1,4
45233,15.75,334995972,3,4
45261,5,111340318,2,5
45226,16.08,466687412,1,3
45058,18.61,2007414207,10,4
45254,14.64,1794633111,25,5
45212,18.12,525954175,4,4
45226,18.9,121799945,1,4
45226,8.7,46481217,1,4
45121,23.48,1683546386,9,5
45037,16.01,1133833191,18,3
45233,10.57,386584205,2,5
45247,16.75,61918892,1,4
45205,18.86,12504445,1,3
45156,16.89,409263705,6,4
45184,16.46,2430570646,28,3
45051,15.44,2754387469,33,4
45037,20.09,16545182128,75,4
45009,18.3,53488536.47,2,2
45219,5,216411202,2,4
45121,15.8,1249261337,15,3
45233,14,100204813,1,5
45198,15.47,602702745,7,4
45212,14,126419998,2,4
44981,25.3,2307984202,9,4
45086,23.68,1502794176,9,5
45051,21.29,860425682,10,4
45261,18.95,6142561,1,3
45079,18.11,210643557,12,2
44946,19.16,2115761658,11,3
44967,16.51,35517409,2,2
45233,18.58,8849855,1,2
45254,16.59,212611862,3,4
45198,19.45,133798092,1,4
45282,17.74,75421637,1,5
45226,17.74,9400000,1,4
45065,14.34,124116506,2,2
45205,14,58340204,1,4
45212,8.5,77809652,1,4
45254,14,100642786,1,3
45233,17.9,19684447,2,4
45226,15.53,57221848,1,5
45128,21.94,969642405,16,4
45261,9.1,150099328,2,5
45205,16.77,139636297,1,4
45170,13.63,4616064308,52,4
45233,17.1,7200000,1,1
45121,23.78,900976922,4,4
45219,18.16,175666915,1,5
45247,5,98399938,1,5
45100,22.09,812328196,12,4
45261,19.85,26428064,1,3
45198,16.75,70736996,1,4
45058,25.55,1654763475,9,4
45100,17.76,146095306,8,1
45212,17.15,44840942,2,4
45205,14,24480372,1,1
45254,14,39686655,1,3
45107,17.32,8325695917,43,4
45212,8.79,169680996,2,5
45205,14.69,109070952,2,5
45044,17.51,886156677,21,4
45198,13.82,2416271367,24,4
45121,17.87,7384340765,35,4
45212,13.17,157886484,3,4
45261,5,52513269,1,5
45093,16.71,1636982566,50,3
45198,18.45,207427312,1,4
45107,16.84,10288598849,42,4
45121,13.81,14923709557,199,4
44967,18.36,1547476951,5,4
45233,18.96,312942124,1,4
44946,18.02,2510357935,41,5
45226,17.32,17662438,1,4
44939,16.28,562082093,13,3
45261,17.05,81070255,1,4
45219,15.8,406413549,6,5
45247,19.2,6000000,1,1
45282,14,58514009,1,4
45198,17.32,42595174,1,4
45030,15.49,1492456095,17,4
45261,8.7,188411782,2,4
45135,22.8,216467134,3,4
45261,18.25,176028084,1,4
45156,19.52,43439998,1,3
45254,15.76,910916630.1,2,4
45240,14,351257018,4,4
45072,20.82,1684723423,6,4
45072,16.44,4747862047,69,4
45107,18,1112490328,4,5
45212,5,77728085,1,4
45198,16.39,870904455,2,4
45233,17.94,294857134,1,4
45205,19.15,101612442,1,3
45254,18.3,217017815,1,4
45044,18.75,432766086,5,3
45254,8.8,104662861,1,5
45212,8.9,25480583,1,5
45254,14,96996505,1,5
45240,13.88,1269766877,15,4
45261,14,104213004,1,5
44960,18.07,4290863556,16,3
45212,8.8,45120238,1,5
45030,21.38,95033925,1,3
45198,14,77725235,1,4
45198,14,70575235,1,4
45212,14,51372168,1,4
45254,5,89534209,2,4
45149,15.54,444982619,8,3
44953,24.97,158175917,1,4
45135,17.89,4869508983,58,5
45247,18.05,10481514,1,3
45058,17.42,3046729702,21,4
44974,21.1,438771276,6,4
44946,22.9,375891146,3,4
45219,16.5,197730404,1,4
45282,5,158831127,2,4
45107,15.09,12929865701,168,4
45198,13.8,243652009,3,4
45093,16.11,852098797,11,3
45086,23.66,64356969,2,3
45212,16,72169924,1,5
45205,18.05,29603279,1,2
45079,18.97,1313415627,6,4
45219,18.45,166190566,1,4
45205,14,23876119,1,2
44995,23.87,24498078,1,3
45261,17.77,329102044,1,4
45226,17.38,473326728,2,4
45212,14,275579046,3,4
45254,14,73167526,1,4
45156,17.22,3078436971,17,4
45282,14.2,614428329,9,5
45079,17.02,11928676466,90,3
44974,18.56,4271308066,62,5
45226,14,185516605,4,4
45282,17.6,274658573,1,4
45261,16.15,15540318,1,4
44946,16.27,376184933.5,3,1
45254,15.12,101494497,1,5
45205,14,31946847,1,5
45261,18.86,80313031,1,3
45233,17.74,220163339,1,5
45261,5,88759393,2,5
45261,8.75,228709283,2,5
44960,18.23,3718241974,60,3
44967,17.12,516592815,2,4
45219,16.6,352922659,6,5
45233,5,162646291,2,5
45261,17.25,2072773838,10,4
45100,21.16,612565084,9,4
45198,5,51571355,1,4
45226,5,154491127,3,4
45261,18.05,5700000,1,1
45009,17.8,12920487790,42,4
45233,14,65987092,1,1
45212,14,41575235,1,3
45226,9.33,289912338,4,5
45128,19.25,1043502788,5,4
45072,20.75,1482356438,6,4
44946,17.7,3555452826,20,5
45233,14,59981071,1,4
45254,14.3,66161413,1,3
45093,15.95,4181010281,57,4
45261,15.25,225842409,4,4
44974,18.21,3373276056,53,3
45163,12.71,971193692,4,4
45247,18.05,217040731,1,3
45233,17.74,13896302,1,4
45163,18.22,11433863422,48,4
45240,17.25,163980915,1,4
45261,14,77075235,1,4
45037,18.71,17359104,1,3
44988,19.26,652470614,15,3
45093,17.71,667400398,19,3
45226,17.65,230350586,1,3
45016,20.2,991420004,5,4
45198,14,51455334,1,4
45233,5,84750827,1,4
45282,14,106553174,1,1
44939,17.28,843075398,3,4
45240,14,48225333,1,4
44946,18.01,6039359713,76,4
45261,17.32,260201281,2,5
45233,17.6,150666704,1,4
45212,14,86668194,1,4
45254,16.77,177941828,1,2
45114,15.99,10720811837,189,5
45226,18.05,16199764,1,3
45198,17.85,156946857,2,4
45219,17.75,423649105,2,3
45205,9.12,363073266,7,4
45212,13.67,319761541,3,4
45079,18.77,8639651735,30,4
44995,17.28,2735013642,32,4
45226,14,56181498,1,5
44960,17.54,1127999002,4,4
45114,23.99,565310316,4,4
45142,18.13,6589160314,24,4
45219,17.8,19322697,1,3
45261,18.05,105190408,1,4
45198,14,89172291,1,3
