Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo,Valor_promedio_credito
45184,14,230067033,3,2,76689011
45233,18.45,119635336,1,4,119635336
45261,18.65,80467682,1,3,80467682
45191,17.24,1967377901,11,4,178852536.5
45261,5,77728085,1,5,77728085
45261,14,30139659,1,4,30139659
45233,12.87,173226589,2,5,86613294.5
45212,16.8,156831988,1,3,156831988
45044,19.02,448233299,6,3,74705549.83
45233,17.91,64874636,3,4,21624878.67
45261,9.15,660208971,8,5,82526121.38
45142,17.88,118574523,4,2,29643630.75
45135,17.86,393909888,22,2,17904994.91
45198,10.49,87394112,1,5,87394112
45233,14.41,1355176623,17,5,79716271.94
45247,17.25,213023408,2,5,106511704
45254,14.87,597316745,8,5,74664593.13
45079,15.66,2806839855,58,3,48393790.6
45233,15.53,57813538,1,5,57813538
45226,15.32,120032068,2,4,60016034
45170,15.61,9699154464,147,4,65980642.61
45107,19.06,2361574097,14,3,168683864.1
44995,21.04,240015137,1,3,240015137
45198,17.46,40805825,1,5,40805825
45065,18.75,108681818,1,1,108681818
45261,17.78,577145123,3,4,192381707.7
45254,18.58,9000000,1,4,9000000
45205,18.35,149771161,1,3,149771161
45142,20.96,122645289,2,3,61322644.5
45261,18.77,682331727,10,3,68233172.7
45247,18.02,5000000,1,2,5000000
45261,10.3,99630975,1,4,99630975
45233,18.36,413302891,2,3,206651445.5
45261,9.9,119095422,1,4,119095422
45135,15.95,21511925,1,2,21511925
44988,19.6,1950544317,10,4,195054431.7
45226,14,6500000,1,4,6500000
45219,16.55,290601123,1,4,290601123
45198,14,66835587,1,4,66835587
45240,10.55,56070522,1,5,56070522
45219,15.22,251737543,3,4,83912514.33
45212,14,111300078,1,5,111300078
45051,16.08,192964365.1,6,1,32160727.52
45282,18.86,73652822,1,5,73652822
45093,23.9,127626984,1,3,127626984
45170,18.11,6609398781,29,4,227910302.8
45093,18.56,3340458722,11,4,303678065.6
45261,9.33,872648042,10,5,87264804.2
45163,17.89,667475283,3,5,222491761
45226,18.45,114960223,1,3,114960223
45219,14,144390794,3,4,48130264.67
45198,18.16,7800000,1,4,7800000
45023,18.72,760669115,8,3,95083639.38
45261,6.6,574074217,1,4,574074217
45212,14.5,87124484.42,1,4,87124484.42
44974,19.51,159147679,2,4,79573839.5
45240,15.82,49554095,2,3,24777047.5
45233,17.75,30906758,2,1,15453379
45212,18.02,28854858,1,3,28854858
45240,5,709712284,7,5,101387469.1
45212,17.65,134638784,1,4,134638784
44967,19.31,4078410493,23,3,177322195.3
45079,17.7,400610387,16,3,25038149.19
45233,5,111201523,2,4,55600761.5
44960,18.66,11149185763,39,4,285876558
45205,18.2,123969801,3,3,41323267
45142,19.09,289527498,1,5,289527498
45100,13.81,13536113006,190,4,71242700.03
45023,23.8,612294367,7,4,87470623.86
44953,17.14,1020105276,12,3,85008773
45233,14,114258165,1,3,114258165
45254,14,91705618,1,4,91705618
45079,24.4,1531074185,10,4,153107418.5
45072,13.94,12036111461,165,4,72946130.07
45072,18.71,4666462231,35,3,133327492.3
45261,14.98,456234424,8,5,57029303
45163,17.65,333378029,4,3,83344507.25
45282,7.98,191730717,2,5,95865358.5
45023,20.95,38410213,2,2,19205106.5
45058,21.14,582052698,7,4,83150385.43
45205,18.37,432576792,2,4,216288396
45233,17.45,189613512,1,4,189613512
45135,19.34,12401551132,70,4,177165016.2
45086,18.43,3775466058,18,3,209748114.3
45261,18.5,69738316,1,1,69738316
45261,14.31,121715908,1,4,121715908
45219,17.74,7000000,1,2,7000000
45205,14,54671507,1,3,54671507
45219,16.85,190172692,1,3,190172692
45261,16.64,104609439,2,4,52304719.5
45002,16.72,3016373806,16,4,188523362.9
45107,22.35,1490294923,21,4,70966424.9
45030,17.88,1692319852,9,4,188035539.1
45247,13.85,608265193,7,4,86895027.57
44939,20.39,73300109,1,4,73300109
45030,17.03,2922347007,17,4,171902765.1
45254,16.45,23473976,1,4,23473976
45240,14,52141554,1,5,52141554
45282,14,63062229,1,5,63062229
45205,14,32280775,1,2,32280775
45198,17.34,331951177.3,3,3,110650392.4
45233,12.25,274973772,1,4,274973772
45121,20.76,224435252,3,4,74811750.67
45023,18.72,159999464,2,4,79999732
45044,16.79,229226543,13,1,17632811
45247,8.9,37259259,1,4,37259259
45226,18.44,20430997,1,2,20430997
45219,5,70978724,1,4,70978724
45240,18.62,496281825,1,3,496281825
45226,16.79,1511258832,2,4,755629416
45016,18.21,5514149422,34,4,162180865.4
44960,20.13,795810415,6,3,132635069.2
45226,17.88,63245623,1,5,63245623
44974,22,1917519234,25,5,76700769.36
45254,14.03,111999917,1,4,111999917
45254,17.7,447856444,2,4,223928222
45247,17.05,24655916,1,4,24655916
45233,8.98,251503721,3,5,83834573.67
45198,15.12,39730506,1,5,39730506
45233,5.9,55791558,1,5,55791558
45156,18.09,1038390917,9,4,115376768.6
45016,22.57,260729357,4,4,65182339.25
45205,14,288946126,3,4,96315375.33
45254,16.45,30561613,1,4,30561613
45156,17.28,259232043,17,1,15248943.71
45184,18.79,6604905722,42,3,157259660
45044,20.39,1288320719,7,4,184045817
45037,18.29,2227238181,45,5,49494181.8
45282,5,111879388,1,4,111879388
45233,18.3,147351609,1,3,147351609
45219,13.35,261567334,4,4,65391833.5
45044,21.04,727036019,3,4,242345339.7
45233,15.29,413406426,6,5,68901071
44946,14.96,4055162669,22,4,184325575.9
45205,14,78041864,3,3,26013954.67
45261,18.05,272339115,1,4,272339115
45261,14,123358167,1,5,123358167
45058,18.4,323514575,12,3,26959547.92
44960,20.01,461974056,2,4,230987028
45226,8.8,77693207,1,4,77693207
45240,8.73,377682404,5,5,75536480.8
44995,17.44,134451216,7,4,19207316.57
45226,16.63,193542125,1,4,193542125
45198,16.94,1511463199,28,3,53980828.54
45205,14,70131238,1,5,70131238
44953,18,344344077,4,3,86086019.25
45219,16.38,154861474,4,5,38715368.5
45044,18.75,1036045181,7,3,148006454.4
45009,20.31,8387048645,43,4,195047642.9
45009,20.25,258790001,3,1,86263333.67
45240,14.7,6000000,1,1,6000000
45219,14.73,1600335211,19,5,84228169
45219,17.32,79895955,1,5,79895955
45170,21.17,187951907,3,4,62650635.67
45065,17.66,1293142017,7,3,184734573.9
45233,15.86,69859913,1,1,69859913
45051,16.79,1531158582,33,5,46398744.91
45198,18.05,311050041,1,4,311050041
45226,14.3,125431584,1,4,125431584
45226,18.16,7685598,1,4,7685598
45128,17.62,353743209,2,3,176871604.5
45261,14,323491551,3,4,107830517
45226,17.32,55435582,1,5,55435582
45254,16.48,79425011,2,5,39712505.5
45044,18.73,637638299,9,3,70848699.89
45198,17.88,11201455,1,4,11201455
45205,14,96589247,1,4,96589247
45240,17.45,122354487,1,3,122354487
45233,18.3,16657937,1,3,16657937
45191,16.18,2502840008,10,4,250284000.8
45037,11.95,635060901,5,4,127012180.2
45212,9.13,118228435,2,5,59114217.5
45282,14,332014036,3,4,110671345.3
45072,13.91,7792971558,109,4,71495151.91
45254,8.83,550917468,6,5,91819578
45198,17.96,426023895,2,4,213011947.5
